premise,hypothesis,labels
LSC's State Planning Initiative began in 1995 primarily in response to the programmatic changes and budget cuts that were threatening the very survival of legal services delivery across the nation.,1995 marked the start of the LSC State Planning Initiative.,entailment
"Hardly catering to locals, Universal Citys Cityalk attempts to snag tourist dollars with its extensive collection of retail wonders, including magic shops, toy stores, sports shops, and a host of science fiction memorabilia.","Some locals do, however, frequent the sports shops.",neutral
"From here it's all through the charming hillside village of Saint-Claude, with its upper-income homes, and on toward the summit or as far as the gendarmes are allowing traffic to proceed that day.",The charming hillside village of Saint-Claude has many upper-income homes.,entailment
"The formal splendor of the grounds testify to the 18th-century desire to tame nature, but it is done with such superlative results that one can only be thankful that the work was undertaken.",The grounds were really beautiful.,entailment
"Pat Buchanan followed immediately behind, handing out smallpox-infected blankets and bottles of whiskey.","Pat Buchanan, being behind, was trying to reach who was in front of him.",neutral
"She admits to Dorcas, 'I don't know what to do; scandal between husband and wife is a dreadful thing.' At 4 o'clock she has been angry, but completely mistress of herself. ",Dorcas agreed with her comments about scandals between husbands and wives.,neutral
uh it's in Georgia it's yeah it's right outside of Macon and and it's just a i like the way that i like the way that idea of the south is,It's about a seven-hour drive to get there from here.,neutral
"In the midst of a final desultory polishing of her silver, Tuppence was disturbed by the ringing of the front door bell, and went to answer it.",Tuppence polishes her silver every day and hates to be disturbed.,neutral
"There may be a small savings at the factory showrooms in Manacor, where you'll have the biggest choice.",The factory showrooms have twenty kinds of yarn and pearls of all size.,neutral
"A piece describes the Learning Channel's new women-targeted reality TV  A Wedding Story , A Baby Story , and A Dating Story , featuring real-life marriages, babies, and dates.",The Learning Channel has more shows for women than any other network.,neutral
"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""",I am good friends with Monsieur Poirot.,neutral
it doesn't have to do i mean the thing is is that you know it's like you might be standing somewhere right and like let's say you're you you go you know you're driving out and you're driving back home and it's late at night and you stop by one of these you know twenty four hour you know gas stations joints,A lot of drivers stop at 24 hour gas stations.,neutral
"If you land by boat, Caravelle beach is yours for the using; otherwise you'll have to pay a nominal charge to the vacation club that owns the acreage.",The charge for entering Caravelle beach by land is $2.,neutral
"It may be that the best way to read this text in the years ahead will not be with a magnifying glass, but through the looking glass--as a prism to discern what the political culture that produced Nixon shares with our own.",Many things are shared between the Nixon culture and our own,neutral
so it's it's changing and the summers are getting hot and the winters are cold but i guess i can live with it,It can get up to 30 degrees Celsius in the summer.,neutral
"On 4 5 May a mass of mud and rocks was swept down by Pelee's White River (Riviyre Blanche) over a factory, killing 25 people.",Mud and rocks were swept 200 miles down the river.,neutral
11 These departures permit them take advantage of the lower cost of living as well as to be reunited with their spouses and children.,The departures help them take advantage of the low cost of living in the south.,neutral
The Implementation of National and European Legislation Concerning Air Emissions from Large Combustion Plants in Germany,Germany's air emissions must be reduced by 25%.,neutral
"The Drawing Room was partially destroyed by fire in 1941, and its furnishings are faithful reproductions; the huge (repaired) Ming punch bowl is striking.",The Ming punch bowl is used at employee parties.,neutral
yeah and then about every five years you have to dig them up and throw them away and start over again they don't last forever,"You have to dig them up every five years, throw them away and start all over again but it's worth it.",neutral
"It displays some superb marble sculptures of the second century a.d. , most notably a Venus and the Emperor Hadrian and his wife Sabina.",Sabina was the second wife of Emperor Hadrian.,neutral
"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",neutral
"Last year, that campaign - primarily among private attorneys - drew less than $40,000 while the Nashville legal aid fund-raising garnered more than $500,000.",The Memphis campaign was tiny compared to Nashville's ,neutral
"3 Accordingly, auditors performing financial audits need to be proficient in applying the AICPA standards and guidance contained in the SASs.",Auditors must have many qualifications,neutral
"Tom is the winner of a year's supply of Turtle Wax, and he will receive his prize just as soon as the Shopping Avenger figures out how much Turtle Wax actually constitutes a year's supply.",A year's suppy of Turtle Wax is 12 jars.,neutral
"Today, the island is little more than a forgotten backwater with few ferry connections to other islands, but its strong natural defenses gave it advantages in ancient times.",The backwater has been forgotten because it is surrounded by debris.,neutral
" The Romans never really infiltrated Ibiza, and even after the defeat of Hannibal in 202 b.c. during the Second Punic War their influence was restrained.",The Romans didn't infiltrate Ibiza because it wasn't valuable.,neutral
My article does not say or imply that real earnings growth only reflects retentions and that dividend growth must be zero or that all valuation techniques are out the window for firms that don't pay dividends.,"My article doesn't say or imply that real earnings growth reflects only retentions and that dividend growth must be zero or that valuation techniques are unused for firms which don't pay dividends, it implies that growth is a concrete and calculable statistic.",neutral
"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.",Thousands of auditors across the country have visited the site in recent weeks.,neutral
"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","While kids today are symbols of success and status, and their parents are too. ",neutral
"At the eastern end of Back Lane and turning right, Nicholas Street becomes Patrick Street, and in St. Patrick's Close is St. Patrick's Cathedral .",Back Lane and Nicholas Street are longer than Patrick Street.,neutral
"As Malaysia has moved resolutely into the modern age, it has also remained, culturally and historically, a rich, multi-layered blend of traditions wrapped up within a modern, busy economy.",Malaysia is an old country. ,neutral
Acute Bronchitis Upper Respiratory Symptoms Lower Respiratory Symptoms Work Loss Days Minor Restricted Activity Days (minus asthma attacks),Acute bronchitis can lead to loss of work days in elderly patients,neutral
i mean that's a real attractive option if you have the the technology for it all it was was you know i mean she just used a phone modem and she was like she was sitting in the office,The phone modem was easy to set up and use. ,neutral
yeah i it just totally ridiculous i mean the Israeli's could have fixed the whole problem years ago if they just sent sent their guys in there and killed Saddam,They Israelis didn't do it because they knew they could save money getting the States to do it.,neutral
"Sandstone and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar.",Sandstone and granite were chosen as the materials for the Baroque church of Bom Jesus because of how sturdy they are.,neutral
The town is also known for its sparkling wine and for the caves where about 70 per?­cent of France's cultivated mushrooms are grown.,The town grows 40% of the sparkling wine.,neutral
"The purpose of the Self-Inspection process was to provide programs a means to verify, by reviewing a sample of cases, that their 1999 CSR data satisfies LSC's standards for accuracy.",Verification of accuracy is the primary cause of success in business.,neutral
"The same year, the University of Hawaii campus at Manoa became the site of the Center for Cultural and Technical Interchange Between East and West (popularly known as the East West Center), a unique and venerated resource for advanced Pacific Rim studies.",The Pacific Rim studies only take place when one enrolls in a graduate program.,neutral
"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.","For many, this was considered the best position the US had ever been in financially.",neutral
"Executives do so by examining their internal environments and asking a series of questions about the problems that need fixing, how information technology and management can help, and how a CIO might best fit within their management structures to guide technology solutions.",More powerful computers are directly correlated to more effective information technology outcomes.,neutral
um i know that i had heard that uh McDonald's has gotten so much flack about sending their hot foods out in the Styrofoam that they are going to work on something,Styrofoam is not a safe thing to have near food.,neutral
Each room was outfitted with a leather sofa and three fold-out beds for students exhausted after a full day of hard work.,"Every student slept in these housings, no matter what.",neutral
"Puri also has a beautiful beach, southwest of town, which is ideal for cooling off but those aren't sandcastles the Indians are making, they're miniature temples, for this is the Swarga Dwara (Heaven's Gateway), where the faithful wash away their sins.",More Indians than foreigners go to the beach at Puri.,neutral
"Do you know what this is?"" With a dramatic gesture she flung back the left side of her coat and exposed a small enamelled badge.",The coat that she wore was long enough to cover her knees.,neutral
"iii Program Letter 1998-1, published on February 12, 1998, called upon all LSC recipients to analyze any progress made toward the development of the legal services model envisioned by state planners.",LSC recipients are the only ones qualified to analyze such models.,neutral
"To control land and sea routes to the south, the Mauryas still needed to conquer the eastern kingdom of Kalinga (modern Orissa).",The Mauryas had a large army capable of conquering Kalinga.,neutral
Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.,They wanted to prove that even a tiny bit could make a difference.,neutral
"In general, six elements appear  purpose, type of data collected, method of data collection, design, method of data analysis, and reporting.",Breaking it down into 6 elements has always been helpful for students and professionals.,neutral
Adrin heard of a young king in the south who fought against slavers and had an ivory skinned raven-haired swordswoman at his side.,Adrin really wanted to meet the young king.,neutral
"The riotous revelry roars right past Mardi Gras (Shrove Tuesday) when red-costumed children star as devils, to its peak on Ash Wednesday.",Mardi Gras is only the more common name because it is not specifically linked to religion.,neutral
NHTSA noted that the only other possible interpretation of section 330 was to treat the phrase standards promulgated . . . prior to the enactment of this section as,"NHTSA's note came out at the critical time, and helped avert a major crisis.",neutral
"And put like that, she added confidentially to Tommy, ""nobody could boggle at the expense!"" Nobody did, which was the great thing.",She was always confident with talking to Tommy.,neutral
I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.,Many charities are spend their money very unwisely.,neutral
"Of particular significance --the American public has become acutely aware of the hazards to their health, including the risk of mortality, posed by inhalation of fine particles and exposure to mercury through fish consumption.",The consumption of fish is the main way in which mercury poisoning occurs.,neutral
"For example, the first number in Column (10) shows that in FY 1997, the volume of mail sent by households to other households represented 6.6 percent of total First-Class volume.",The cost to send mail between households cost more than any other industry.,neutral
and i use a one of those black soaker hoses that actually oozes water every where so i lace it up and down there a couple of times and i only have to water about two hours a week,"I only have to water about two hours a week, except on rainy weeks.",neutral
"The Mosque of El-Jezzar, built in 1781, dominates the landside of the old city (the other three sides jut into the Mediterranean).",The mosque contains many examples of intricate textile work. ,neutral
"Thus, the imbalance in the volume of mail exchanged magnifies the effect of the relatively higher rates in these countries.",There is more mail coming in than going out.,neutral
"Finally, the Administration strongly opposes including reductions for CO2 in S. 556 or any multi-pollutant bill.","Any multi-pollutant bill is opposed by the Administration, that means people will be happy about that.",neutral
"To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.",The architect lacked any notable skill.,contradiction
